element,key,value_number,value_text,note
planned_pair,84-100,16.0,lag,drawn in the adjacency map
planned_pair,85-86,1.0,lag,drawn in the adjacency map
planned_pair,85-87,2.0,lag,drawn in the adjacency map
planned_pair,85-89,4.0,lag,drawn in the adjacency map
planned_pair,85-93,8.0,lag,drawn in the adjacency map
planned_pair,85-101,16.0,lag,drawn in the adjacency map
planned_pair,86-87,1.0,lag,drawn in the adjacency map
planned_pair,86-88,2.0,lag,drawn in the adjacency map
planned_pair,86-90,4.0,lag,drawn in the adjacency map
planned_pair,86-94,8.0,lag,drawn in the adjacency map
planned_pair,86-102,16.0,lag,drawn in the adjacency map
planned_pair,87-88,1.0,lag,drawn in the adjacency map
planned_pair,87-89,2.0,lag,drawn in the adjacency map
planned_pair,87-91,4.0,lag,drawn in the adjacency map
planned_pair,87-95,8.0,lag,drawn in the adjacency map
planned_pair,87-103,16.0,lag,drawn in the adjacency map
planned_pair,88-89,1.0,lag,drawn in the adjacency map
planned_pair,88-90,2.0,lag,drawn in the adjacency map
planned_pair,88-92,4.0,lag,drawn in the adjacency map
planned_pair,88-96,8.0,lag,drawn in the adjacency map
planned_pair,88-104,16.0,lag,drawn in the adjacency map
planned_pair,89-90,1.0,lag,drawn in the adjacency map
